mapping_id,nbs_id,dataset_id,suitability_dimension,relationship_type,relationship_params,uncertainty_pct,context_overrides,is_scenario_candidate,scenario_label,scenario_description,has_future_projection,baseline_dataset_id,future_dataset_ids,weight_default,weight_adjustable,justification,variable,suitability_family_id,evidence_ids,n_sources,corpus_n,paper_support_pct
riparian_buffer__natural_restored__distance_to_waterbody,riparian_buffer,merit_hydro_v1,biophysical_constraint,trapezoidal,"{""abs_min"": 50.0, ""abs_max"": 210.0}",40.0,[],false,,,false,,,1.0,true,"Reconciled from 3 evidence unit(s) (weighted median, tier×claim_basis). Global {'abs_min': 50.0, 'abs_max': 210.0}; uncertainty ±40% from spread. Collapsed 4 citation echo(es). ",distance_to_waterbody,riparian_buffer__natural_restored,"[""ev_distance_to_waterbody_zhao13_1"", ""ev_distance_to_waterbody_dalacorte20_2"", ""ev_distance_to_waterbody_demello18_1""]",3,15,21.6
riparian_buffer__planted__distance_to_waterbody,riparian_buffer,merit_hydro_v1,biophysical_constraint,trapezoidal,"{""abs_max"": 30.0}",10.0,[],false,,,false,,,1.0,true,"Reconciled from 3 evidence unit(s) (weighted median, tier×claim_basis). Global {'abs_max': 30.0}; uncertainty ±10% from spread. Collapsed 3 citation echo(es). ",distance_to_waterbody,riparian_buffer__planted,"[""ev_distance_to_waterbody_schultz95_1"", ""ev_distance_to_waterbody_tiwari16_1"", ""ev_distance_to_waterbody_cole20_1""]",3,12,27.5
